

Results of defending champions at the Masters golf tournament:


YEAR WINNER               Following-Year Finish


---- ------               ---------------------


2006 Phil Mickelson               To be determined


2005 Tiger Woods                  t3rd


2004 Phil Mickelson                 10


2003 Mike Weir                     Cut


2002 Tiger Woods                   t15


2001 Tiger Woods                   Won


2000 Vijay Singh                   t18


1999 Jose Maria Olazabal           Cut


1998 Mark O'Meara                  t31


1997 Tiger Woods                    t8


1996 Nick Faldo                    Cut


1995 Ben Crenshaw                  Cut


1994 Jose Maria Olazabal           t14


1993 Bernhard Langer               t25


1992 Fred Couples                  t21


1991 Ian Woosnam                   t19


1990 Nick Faldo                    t12


1989 Nick Faldo                    Won


1988 Sandy Lyle                    Cut


1987 Larry Mize                    t45


1986 Jack Nicklaus                  t7


1985 Bernhard Langer               t16


1984 Ben Crenshaw                  t57


1983 Seve Ballesteros              Cut


1982 Craig Stadler                  t6


1981 Tom Watson                     t5


1980 Seve Ballesteros              Cut


1979 Fuzzy Zoeller                 t19


1978 Gary Player                   t17


1977 Tom Watson                     t2


1976 Raymond Floyd                  t8


1975 Jack Nicklaus                  t3


1974 Gary Player                   t30


1973 Tommy Aaron                   Cut


1972 Jack Nicklaus                  t3


1971 Charles Coody                 t12


1970 Billy Casper                  t13


1969 George Archer                 t31


1968 Bob Goalby                    t40


1967 Gay Brewer, Jr.               t35


1966 Jack Nicklaus                 Cut


1965 Jack Nicklaus                 Won


1964 Arnold Palmer                  t2


1963 Jack Nicklaus                  t2


1962 Arnold Palmer                  t9


1961 Gary Player                     2


1960 Arnold Palmer                  t2


1959 Art Wall, Jr.              DNP/WD


1958 Arnold Palmer                   3


1957 Doug Ford                      t2


1956 Jack Burke, Jr.                t7


1955 Cary Middlecoff                 3


1954 Sam Snead                       3


1953 Ben Hogan                       2


1952 Sam Snead                     t16


1951 Ben Hogan                      t7


1950 Jimmy Demaret                 t30


1949 Sam Snead                       3


1948 Claude Harmon                 t11


1947 Jimmy Demaret                 t18


1946 Herman Keiser                 t24


1945 No tournament - World War II


1944 No tournament - World War II


1943 No tournament - World War II


1942 Byron Nelson                   t7


1941 Craig Wood                    t23


1940 Jimmy Demaret                 t12


1939 Ralph Guldahl                 t14


1938 Henry Picard                    8


1937 Byron Nelson                    4


1936 Horton Smith                  t19


1935 Gene Sarazen                    3


1934 Horton Smith                  t19

