

AUGUSTA, Georgia, April 4, 2007 (AFP/AFP) - Masters winners from
outside the United States:


Year Player               Nation


---- ------               -------


2003 Mike Weir            Canada


2000 Vijay Singh          Fiji


1999 Jose Maria Olazabal  Spain


1996 Nick Faldo           England


1994 Jose Maria Olazabal  Spain


1993 Bernhard Langer      Germany


1991 Ian Woosnam          Wales


1990 Nick Faldo           England


1989 Nick Faldo           England


1988 Sandy Lyle           Scotland


1985 Bernhard Langer      Germany


1983 Seve Ballesteros     Spain


1980 Seve Ballesteros     Spain


1978 Gary Player          South Africa


1974 Gary Player          South Africa


1961 Gary Player          South Africa

